,For,Party,Title(s),address,link,name,office
26,"Dawson, Queensland",The Nationals,Chief Nationals Whip,"2/21 Milton Street
                                             Mackay, QLD, 4740",/Senators_and_Members/Parliamentarian?MPID=230485,Mr George Christensen MP,1.0
27,"Moncrieff, Queensland",Liberal Party of Australia,Tourism and Investment,"Ground Floor West
                                             67 Thomas Drive
                                                 Chevron Island, QLD, 4217",/Senators_and_Members/Parliamentarian?MPID=00AN0,Hon Steven Ciobo MP,1.0
28,"Blaxland, New South Wales",Australian Labor Party,,"Suite 7 Level 1, 400 Chapel Road
                                             Bankstown, NSW, 2200",/Senators_and_Members/Parliamentarian?MPID=HWL,Hon Jason Clare MP,1.0
29,"Newcastle, New South Wales",Australian Labor Party,,"427 Hunter Street
                                             Newcastle, NSW, 2300",/Senators_and_Members/Parliamentarian?MPID=248181,Ms Sharon Claydon MP,1.0
30,"Banks, New South Wales",Liberal Party of Australia,,"22 Revesby Place
                                             Revesby, NSW, 2212",/Senators_and_Members/Parliamentarian?MPID=241067,Mr David Coleman MP,1.0
31,"Franklin, Tasmania",Australian Labor Party,,"18 Ross Avenue
                                             Rosny Park, TAS, 7018",/Senators_and_Members/Parliamentarian?MPID=HWM,Hon Julie Collins MP,1.0
32,"Shortland, New South Wales",Australian Labor Party,,"Suite 7, Level 1
                                             342 Main Road
                                                 Cardiff, NSW, 2285",/Senators_and_Members/Parliamentarian?MPID=249127,Mr Pat Conroy MP,1.0
33,"Parkes, New South Wales",The Nationals,Deputy Speaker,"Shop 3, 153 Brisbane Street
                                             Dubbo, NSW, 2830",/Senators_and_Members/Parliamentarian?MPID=HWN,Mr Mark Coulton MP,1.0
34,"Parkes, New South Wales",The Nationals,Deputy Speaker,"69 Heber Street
                                             Moree, NSW, 2400",/Senators_and_Members/Parliamentarian?MPID=HWN,Mr Mark Coulton MP,2.0
35,"Parkes, New South Wales",The Nationals,Deputy Speaker,"275 Argent Street
                                             Broken Hill, NSW, 2880",/Senators_and_Members/Parliamentarian?MPID=HWN,Mr Mark Coulton MP,3.0
36,"Dunkley, Victoria",Liberal Party of Australia,,"20 Davey Street
                                             Frankston, VIC, 3199",/Senators_and_Members/Parliamentarian?MPID=248969,Mr Chris Crewther MP,1.0
37,"Melbourne Ports, Victoria",Australian Labor Party,,"117 Fitzroy Street
                                             St Kilda West, VIC, 3182",/Senators_and_Members/Parliamentarian?MPID=WF6,Hon Michael Danby MP,1.0
38,"Oxley, Queensland",Australian Labor Party,,"255 Forest Lake Boulevard
                                             Forest Lake, QLD, 4078",/Senators_and_Members/Parliamentarian?MPID=53517,Mr Milton Dick MP,1.0
39,"Isaacs, Victoria",Australian Labor Party,Deputy Manager of Opposition Business,"566 Main Street
                                             Mordialloc, VIC, 3195",/Senators_and_Members/Parliamentarian?MPID=HWG,"Hon Mark Dreyfus QC, MP",1.0
